Person_ID,Year,Age,Labor_Income,Insurance,Education,Gender,Last_Marital,Employment,employed_lag
4004,2013,60,28497.386759581885,1,3,0,4,1.0,1
4007,2019,58,52114.69534050179,1,2,0,4,1.0,1
4007,2021,60,4213.678516228748,1,2,0,4,1.0,1
4034,2015,39,29485.424588086185,0,2,1,2,1.0,1
4034,2017,41,49072.5,0,2,1,2,1.0,1
4034,2019,43,8685.782556750299,0,2,1,2,1.0,1
4034,2021,45,10112.828438948995,0,2,1,2,1.0,1
4038,2013,26,1567.3562717770035,0,2,0,1,0.0,0
4040,2019,28,27990.802867383514,0,2,1,1,1.0,1
4040,2021,30,21068.392581143737,0,2,1,1,1.0,1
4195,2013,40,34576.829268292684,0,2,1,1,0.0,1
4196,2013,36,37996.51567944251,1,2,1,4,1.0,0
4197,2015,39,23956.907477820027,1,3,1,1,1.0,1
4201,2013,31,21847.996515679442,1,2,1,4,1.0,1
4201,2015,33,23956.907477820027,0,2,1,4,0.0,1
4204,2017,35,45437.5,1,2,1,1,0.0,1
4204,2019,37,30400.238948626047,1,2,1,1,1.0,0
4206,2019,36,34743.130227001195,1,3,1,1,1.0,1
4206,2021,38,42136.78516228747,1,3,1,1,1.0,1
4207,2021,28,29785.650695517772,0,2,1,2,1.0,1
4209,2021,68,166861.66924265842,1,3,1,1,1.0,1
5003,2013,51,30808.524825783974,1,2,1,1,1.0,1
5003,2015,53,30340.501901140684,1,2,1,1,1.0,1
5003,2017,55,29080.0,1,2,1,1,1.0,1
5003,2019,57,37348.864994026284,1,2,1,1,1.0,1
5003,2021,59,41294.04945904173,1,2,1,1,1.0,1
5005,2013,46,29637.28222996516,0,2,1,4,1.0,1
5033,2017,22,8178.749999999999,0,2,1,1,1.0,0
5033,2019,24,13028.673835125448,0,2,1,1,0.0,1
5033,2021,26,0.0,0,2,1,1,1.0,0
5181,2013,29,31062.151567944253,1,2,0,4,1.0,1
5182,2013,40,310858.993902439,1,3,1,1,1.0,1
5183,2013,57,24697.735191637632,1,2,1,3,1.0,1
5183,2015,59,29946.134347275034,1,2,1,3,1.0,1
5183,2017,61,34532.5,1,2,1,3,1.0,1
5183,2019,63,37262.00716845878,1,2,1,3,1.0,1
5183,2021,65,27810.278207109735,1,2,1,3,0.0,1
5184,2017,39,59288.667499999996,1,2,1,2,1.0,1
5184,2019,41,43428.9127837515,1,2,1,2,1.0,1
6006,2013,58,189982.57839721255,1,3,1,1,1.0,1
6006,2015,60,202712.29404309252,1,3,1,1,1.0,1
6006,2017,62,199925.0,1,3,1,1,1.0,1
6006,2019,64,173715.651135006,1,3,1,1,1.0,1
6006,2021,66,227538.63987635236,1,3,1,1,1.0,1
6031,2013,38,104490.4181184669,1,3,1,1,1.0,1
6032,2013,32,99740.8536585366,1,3,1,1,1.0,1
6032,2015,34,105963.24461343473,1,3,1,1,1.0,1
6032,2017,36,104506.25,1,3,1,1,1.0,1
6032,2019,38,66880.5256869773,1,3,1,1,1.0,1
6032,2021,40,171075.34775888716,1,3,1,1,1.0,1
6033,2013,31,90241.72473867597,0,3,1,1,1.0,1
6033,2019,37,147658.30346475507,1,3,1,1,1.0,1
6034,2013,29,0.0,1,3,1,1,1.0,1
6034,2015,31,101356.14702154626,1,3,1,1,1.0,1
6034,2017,33,104506.25,1,3,1,1,1.0,1
6034,2019,35,125943.84707287933,1,3,1,1,1.0,1
6034,2021,37,139051.39103554867,1,3,1,1,1.0,1
6170,2013,68,22987.891986062717,1,2,1,1,1.0,1
6170,2015,70,13821.292775665399,1,2,1,1,1.0,1
6174,2013,39,86848.63588850174,1,3,1,1,1.0,1
6174,2015,41,129109.30291508239,1,3,1,1,1.0,1
6174,2017,43,161757.5,1,3,1,1,1.0,1
7004,2013,57,28497.386759581885,1,2,0,4,1.0,1
7004,2015,59,27642.585551330798,1,2,0,4,1.0,1
7031,2013,39,5699.477351916376,0,2,1,4,1.0,1
7031,2015,41,58273.334600760456,1,2,1,4,1.0,1
7031,2017,43,59068.75,0,2,1,4,1.0,1
7032,2013,38,22797.909407665506,0,2,1,5,1.0,1
7032,2015,40,552.851711026616,0,2,1,5,1.0,1
7032,2017,42,1817.5,1,2,1,5,0.0,1
7034,2013,38,12809.575348432056,0,2,0,4,1.0,1
7034,2015,40,13821.292775665399,1,2,0,4,1.0,1
7034,2017,42,36350.0,1,2,0,4,1.0,1
7034,2019,44,21714.45639187575,1,2,0,4,1.0,1
7034,2021,46,30136.228748068002,0,2,0,4,1.0,1
7036,2017,36,4543.75,1,2,0,5,1.0,1
7036,2019,38,6514.336917562724,1,2,0,5,1.0,1
7037,2013,32,6839.3728222996515,0,2,1,1,1.0,1
7037,2019,38,62537.63440860215,1,2,1,1,1.0,1
7038,2013,29,10449.04181184669,0,2,1,4,0.0,1
7038,2015,31,12899.873257287707,0,2,1,4,1.0,0
7038,2017,33,9087.5,1,2,1,4,0.0,1
7038,2019,35,26057.347670250896,0,2,1,4,1.0,0
7038,2021,37,63205.17774343122,0,2,1,4,1.0,1
7039,2013,25,14464.323606271777,0,2,1,2,1.0,1
7039,2015,27,7325.2851711026615,0,2,1,2,1.0,1
7039,2017,29,11897.355,1,2,1,2,1.0,1
7039,2019,31,39086.021505376346,1,2,1,2,1.0,1
7039,2021,33,45918.9829984544,1,2,1,2,1.0,1
7041,2021,30,37923.10664605873,1,2,1,2,1.0,1
7042,2015,23,19349.809885931558,1,3,1,1,1.0,1
7042,2017,25,56342.5,1,3,1,1,1.0,1
7042,2019,27,78172.04301075269,1,3,1,1,1.0,1
7042,2021,29,50564.14219474497,0,3,1,1,1.0,1
7043,2015,23,18428.390367553868,0,2,1,2,1.0,0
7043,2017,25,27262.5,1,2,1,2,1.0,1
7043,2019,27,24320.191158900838,1,2,1,2,1.0,1
7043,2021,29,874.759659969088,1,2,1,2,1.0,1
7044,2015,22,138.212927756654,0,2,1,2,0.0,0
7044,2017,24,3271.5,0,2,1,2,0.0,0
7044,2019,26,0.0,0,2,1,2,0.0,0
7044,2021,28,4213.678516228748,0,2,1,2,1.0,0
7045,2017,24,0.0,1,2,0,2,1.0,1
7048,2019,22,13897.252090800479,1,2,0,2,1.0,0
7048,2021,24,16011.97836166924,1,2,0,2,1.0,1
7194,2013,24,41439.949912891985,1,2,1,1,1.0,1
7194,2015,26,156641.31812420787,0,2,1,1,1.0,1
7194,2017,28,336237.5,0,2,1,1,1.0,1
7194,2019,30,130286.73835125448,0,2,1,1,1.0,1
7194,2021,32,337094.2812982998,0,2,1,1,1.0,1
7205,2015,22,41463.8783269962,1,2,1,1,1.0,0
7205,2017,24,43256.5,1,2,1,1,1.0,1
7205,2019,26,36132.85543608124,1,2,1,1,1.0,1
7205,2021,28,46856.105100463676,1,2,1,1,1.0,1
7206,2019,24,59063.32138590203,1,2,1,2,1.0,1
7206,2021,26,25057.06066460587,1,2,1,2,1.0,1
7217,2017,25,26353.75,1,2,1,1,1.0,1
7217,2019,27,52114.69534050179,0,2,1,1,1.0,1
7217,2021,29,54777.82071097372,0,2,1,1,1.0,1
10006,2013,49,20518.118466898955,0,3,0,4,1.0,1
10006,2015,51,23035.487959442333,0,3,0,4,1.0,1
10006,2017,53,15448.75,0,3,0,4,1.0,1
10006,2019,55,26057.347670250896,1,3,0,4,1.0,1
10007,2013,47,20993.07491289199,0,3,1,2,0.0,0
10031,2017,41,5906.875,1,2,1,2,0.0,0
10032,2021,34,8427.357032457496,0,3,0,2,1.0,1
10035,2019,27,0.0,0,2,1,2,0.0,0
10035,2021,29,0.0,0,2,1,2,0.0,0
10181,2013,46,47495.64459930314,1,3,1,1,1.0,1
10181,2015,48,40588.52978453739,1,3,1,1,1.0,1
10181,2017,50,42711.25,1,3,1,1,1.0,1
10181,2019,52,42734.050179211474,1,3,1,1,1.0,1
10181,2021,54,54777.82071097372,1,3,1,1,1.0,1
10186,2019,28,28564.064516129034,1,2,1,1,1.0,1
10186,2021,30,63205.17774343122,1,2,1,1,0.0,1
11003,2013,60,31392.7212543554,1,3,1,4,1.0,1
13178,2013,38,142486.9337979094,1,3,1,1,1.0,1
13179,2021,41,168547.1406491499,1,3,1,4,1.0,1
14030,2015,29,55285.171102661596,1,3,1,1,1.0,1
14030,2017,31,49072.5,1,3,1,1,1.0,1
14030,2019,33,50377.53882915173,1,3,1,1,1.0,1
14030,2021,35,69947.0633693972,1,3,1,1,1.0,1
14032,2019,26,69486.26045400239,1,3,1,2,1.0,0
14032,2021,28,111241.11282843894,1,3,1,2,1.0,1
14173,2013,51,60794.425087108015,1,3,1,1,1.0,1
14173,2015,53,64499.36628643853,1,3,1,1,1.0,1
14173,2017,55,66338.75,1,3,1,1,1.0,1
14179,2019,36,25504.063321385904,0,2,1,2,1.0,1
16003,2013,51,17098.43205574913,0,3,0,4,1.0,1
16003,2015,53,17506.970849176174,0,3,0,4,1.0,1
16005,2013,50,4559.581881533101,1,3,1,1,1.0,0
16005,2015,52,5528.51711026616,1,3,1,1,1.0,1
16005,2017,54,16357.499999999998,1,3,1,1,1.0,1
16172,2017,58,44528.75,1,3,1,1,1.0,1
16173,2017,43,38167.5,1,3,1,1,1.0,1
16173,2019,45,26057.347670250896,1,3,1,1,1.0,1
16174,2013,23,36096.68989547039,0,2,1,2,0.0,1
16174,2015,25,1704.6261089987327,0,2,1,2,0.0,0
16174,2017,27,35441.25,1,2,1,2,0.0,0
16174,2019,29,4342.891278375149,0,2,1,2,0.0,0
16176,2013,33,26597.56097560976,1,3,1,1,1.0,1
16176,2015,35,42385.29784537389,1,3,1,1,1.0,1
16176,2017,37,32714.999999999996,1,3,1,1,1.0,1
16176,2019,39,31268.817204301075,1,3,1,1,1.0,1
16176,2021,41,28653.013910355483,1,3,1,1,1.0,1
18003,2013,56,37321.127613240424,1,2,1,1,1.0,1
18003,2015,58,45610.26615969582,1,2,1,1,1.0,1
18003,2017,60,40893.75,1,2,1,1,1.0,1
18003,2019,62,54720.43010752688,1,2,1,1,1.0,1
18003,2021,64,38653.75850077279,1,2,1,1,1.0,1
18004,2013,59,0.0,1,2,1,1,1.0,1
18004,2015,61,0.0,1,2,1,1,1.0,1
18004,2017,63,0.0,1,2,1,1,1.0,1
