Person_ID,Year,Age,Labor_Income,Insurance,Education,Gender,Last_Marital,Employment
4004,2011,58,0.0,1,3,0,4,1.0
4004,2013,60,28497.386759581885,1,3,0,4,1.0
4007,2017,56,50890.0,1,2,0,4,1.0
4007,2019,58,52114.69534050179,1,2,0,4,1.0
4007,2021,60,4213.678516228748,1,2,0,4,1.0
4008,2011,46,42000.0,1,2,1,4,1.0
4034,2013,37,0.0,0,2,1,2,1.0
4034,2015,39,29485.424588086185,0,2,1,2,1.0
4034,2017,41,49072.5,0,2,1,2,1.0
4034,2019,43,8685.782556750299,0,2,1,2,1.0
4034,2021,45,10112.828438948995,0,2,1,2,1.0
4038,2011,24,12800.0,1,2,0,1,0.0
4038,2013,26,1567.3562717770035,0,2,0,1,0.0
4039,2017,26,19083.75,1,2,0,4,1.0
4039,2021,30,47193.19938176197,1,2,0,4,0.0
4040,2017,26,23627.5,0,2,1,1,1.0
4040,2019,28,27990.802867383514,0,2,1,1,1.0
4040,2021,30,21068.392581143737,0,2,1,1,1.0
4041,2017,24,17320.774999999998,1,2,0,4,0.0
4042,2021,25,22753.86398763524,1,2,1,1,1.0
4180,2013,28,20898.08362369338,1,2,0,5,1.0
4180,2021,36,17360.35548686244,1,2,0,5,1.0
4195,2011,38,28851.0,0,2,1,1,1.0
4195,2013,40,34576.829268292684,0,2,1,1,0.0
4196,2011,34,0.0,0,2,1,4,0.0
4196,2013,36,37996.51567944251,1,2,1,4,1.0
4197,2013,37,41796.16724738676,1,3,1,1,1.0
4197,2015,39,23956.907477820027,1,3,1,1,1.0
4200,2013,20,5562.689895470384,1,2,1,1,1.0
4201,2011,29,11000.0,1,2,1,4,1.0
4201,2013,31,21847.996515679442,1,2,1,4,1.0
4201,2015,33,23956.907477820027,0,2,1,4,0.0
4202,2011,29,33688.0,1,2,1,1,1.0
4204,2015,33,48497.07351077313,0,2,1,1,1.0
4204,2017,35,45437.5,1,2,1,1,0.0
4204,2019,37,30400.238948626047,1,2,1,1,1.0
4206,2017,34,36350.0,1,3,1,1,1.0
4206,2019,36,34743.130227001195,1,3,1,1,1.0
4206,2021,38,42136.78516228747,1,3,1,1,1.0
4207,2019,26,26057.347670250896,0,2,1,2,1.0
4207,2021,28,29785.650695517772,0,2,1,2,1.0
4209,2019,66,79909.19952210275,1,3,1,1,1.0
4209,2021,68,166861.66924265842,1,3,1,1,1.0
4211,2021,50,29495.749613601234,0,1,1,1,1.0
5003,2011,49,32000.0,1,2,1,1,1.0
5003,2013,51,30808.524825783974,1,2,1,1,1.0
5003,2015,53,30340.501901140684,1,2,1,1,1.0
5003,2017,55,29080.0,1,2,1,1,1.0
5003,2019,57,37348.864994026284,1,2,1,1,1.0
5003,2021,59,41294.04945904173,1,2,1,1,1.0
5005,2011,44,24000.0,1,2,1,4,1.0
5005,2013,46,29637.28222996516,0,2,1,4,1.0
5031,2021,37,44976.804482225656,1,2,1,1,1.0
5033,2015,20,5067.807351077313,0,2,1,1,0.0
5033,2017,22,8178.749999999999,0,2,1,1,1.0
5033,2019,24,13028.673835125448,0,2,1,1,0.0
5033,2021,26,0.0,0,2,1,1,1.0
5181,2011,27,28000.0,1,2,0,4,1.0
5181,2013,29,31062.151567944253,1,2,0,4,1.0
5182,2011,38,237387.0,1,3,1,1,1.0
5182,2013,40,310858.993902439,1,3,1,1,1.0
5183,2011,55,30000.0,1,2,1,3,1.0
5183,2013,57,24697.735191637632,1,2,1,3,1.0
5183,2015,59,29946.134347275034,1,2,1,3,1.0
5183,2017,61,34532.5,1,2,1,3,1.0
5183,2019,63,37262.00716845878,1,2,1,3,1.0
5183,2021,65,27810.278207109735,1,2,1,3,0.0
5184,2015,37,46070.975918884666,1,2,1,2,1.0
5184,2017,39,59288.667499999996,1,2,1,2,1.0
5184,2019,41,43428.9127837515,1,2,1,2,1.0
6006,2011,56,85000.0,1,3,1,1,1.0
6006,2013,58,189982.57839721255,1,3,1,1,1.0
6006,2015,60,202712.29404309252,1,3,1,1,1.0
6006,2017,62,199925.0,1,3,1,1,1.0
6006,2019,64,173715.651135006,1,3,1,1,1.0
6006,2021,66,227538.63987635236,1,3,1,1,1.0
6031,2011,36,85000.0,1,3,1,1,1.0
6031,2013,38,104490.4181184669,1,3,1,1,1.0
6031,2017,42,113593.75,1,3,1,1,1.0
6031,2021,46,109555.64142194744,1,3,1,1,1.0
6032,2011,30,90000.0,1,3,1,1,1.0
6032,2013,32,99740.8536585366,1,3,1,1,1.0
6032,2015,34,105963.24461343473,1,3,1,1,1.0
6032,2017,36,104506.25,1,3,1,1,1.0
6032,2019,38,66880.5256869773,1,3,1,1,1.0
6032,2021,40,171075.34775888716,1,3,1,1,1.0
6033,2011,29,100000.0,1,3,1,1,1.0
6033,2013,31,90241.72473867597,0,3,1,1,1.0
6033,2017,35,83605.0,1,3,1,1,1.0
6033,2019,37,147658.30346475507,1,3,1,1,1.0
6034,2011,27,35000.0,1,3,1,1,1.0
6034,2013,29,0.0,1,3,1,1,1.0
6034,2015,31,101356.14702154626,1,3,1,1,1.0
6034,2017,33,104506.25,1,3,1,1,1.0
6034,2019,35,125943.84707287933,1,3,1,1,1.0
6034,2021,37,139051.39103554867,1,3,1,1,1.0
6170,2011,66,27000.0,1,2,1,1,1.0
6170,2013,68,22987.891986062717,1,2,1,1,1.0
6170,2015,70,13821.292775665399,1,2,1,1,1.0
6174,2011,37,79700.0,1,3,1,1,1.0
6174,2013,39,86848.63588850174,1,3,1,1,1.0
6174,2015,41,129109.30291508239,1,3,1,1,1.0
6174,2017,43,161757.5,1,3,1,1,1.0
7004,2011,55,30000.0,1,2,0,4,1.0
7004,2013,57,28497.386759581885,1,2,0,4,1.0
7004,2015,59,27642.585551330798,1,2,0,4,1.0
7031,2011,37,15850.0,0,2,1,4,1.0
7031,2013,39,5699.477351916376,0,2,1,4,1.0
7031,2015,41,58273.334600760456,1,2,1,4,1.0
7031,2017,43,59068.75,0,2,1,4,1.0
7031,2021,47,38765.842349304476,1,2,1,4,1.0
7032,2011,36,40000.0,0,2,1,5,1.0
7032,2013,38,22797.909407665506,0,2,1,5,1.0
7032,2015,40,552.851711026616,0,2,1,5,1.0
7032,2017,42,1817.5,1,2,1,5,0.0
